CardNumber,Category,Tier,Prompt,Guidance,FlavourText,PairsWith
24,Growth and Direction,Open,"Who in or outside this org do you admire, and what would you nick from them if you could?","Identifies role models. Use to broker mentor connections.","Inspiration: any quality the company tries to systematise into a competency framework, ruining it.",
25,Growth and Direction,Open,What's the most energising thing you've done at work this month?,"Past-anchored, single-barrel. Listen for what was happening around it.","She had spent three hours on the slide deck. The five minutes at the whiteboard had been the work.",26
26,Growth and Direction,Working,What's drained the most energy from you in the last fortnight?,"Past-anchored, specific. Don't rush to fix.","The status update describing the work was, on the day, longer than the work.",25
27,Growth and Direction,Deep,"When you picture yourself two years from now, what's a Tuesday in your work life like?","Behaviourally textured miracle question. Concrete future beats abstract goal.","Five-year plans are typically revised annually.",
28,Growth and Direction,Working,What's one skill you'd like to be visibly better at three months from now? What's a first step you could take this week?,"Bounded, time-boxed, action-oriented.","His LinkedIn listed forty-seven skills. He could do four of them well.",
29,Growth and Direction,Working,Tell me about a recent week you felt genuinely switched on. What was happening?,"Replaces 'what motivates you' with episode. The pattern is in the details.","She had loved her job for nine days in a row. It was, on review, mostly the weather.",25
30,Growth and Direction,Working,What's one move you've made toward where you want to go since we last spoke?,"Hold gentle accountability. Celebrate or name drift, calmly.","Career development: the thing on the list after reply to emails.",31
31,Growth and Direction,Working,"What's one thing — from me, the team, or the org — that would meaningfully unblock your growth?","Specific ask, not vague support. Push back on platitudes.","—A budget was tabled, and tabled, and tabled.",30
32,Growth and Direction,Working,"What part of the business would you like to understand better, even if it's not directly your job?","Cross-functional curiosity. Maps to shadowing, info sessions, side projects.","Finance was either everything or nothing. The team couldn't agree which.",
33,Growth and Direction,Working,Is there a project on the horizon you'd like to put your hand up for?,"Names ambition concretely. Easier to act on than abstract goals.","She volunteered for the project nobody wanted. It became the project everyone wanted.",28
34,Growth and Direction,Working,How do you see your role looking different a year from now?,"Discuss expected changes. Surface drift before it becomes a problem.","His title had three nouns. He understood two of them.",35
35,Growth and Direction,Deep,What part of your current role feels like an old skin you're growing out of?,"Identity-level question. Signals readiness for change before resignation does.","She kept being praised for the thing she no longer wanted to be praised for.",34
36,Growth and Direction,Open,What's a small win this week that nobody else has clocked?,"Warm-up. Surfaces under-recognised work without forcing complaint.","She had unblocked three people that morning. None of them knew.",
37,Growth and Direction,Deep,Has anything you've been asked to do recently sat uneasily with you?,"Permission-prefaced. Surfaces ethical or values tension. Listen, don't argue.","It was technically fine, in the sense that lawyers had been involved.",
38,Growth and Direction,Working,When in the last fortnight did you notice yourself protecting your energy? What did you do?,"Past-anchored. Presupposes capability — they already know how.","Self-care: declining the 5 p.m. meeting and lying down for the same hour.",26
39,Growth and Direction,Working,"What's something you said no to recently that you're glad you did? What's something you wish you'd said no to?","Strategic question. Two-part but tightly paired.","He had an excellent boundary. He had told two people about it.",
40,Feedback and Repair,Open,How do you prefer to receive feedback when something isn't working?,"Tone, timing, medium. Tailor your approach.","—Just be direct with me, she said, in a tone that suggested otherwise.",
41,Feedback and Repair,Open,"How do you like recognition — loud and public, quiet and specific, or somewhere else?","Recognition style varies more than people think. Don't assume.","He hated public praise so much he'd written a whole keynote about it.",
42,Feedback and Repair,Working,"When you have feedback for a peer, what tends to make it land — and what doesn't?","Past-anchored. Learning frame, not policing frame.","The feedback sandwich: bread, advice, more bread, no advice retained.",40
43,Feedback and Repair,Working,Think of a piece of difficult feedback you handled well. What did the giver do that helped?,"Past-anchored exception question. The pattern is in the details.","—It was hard to hear, but I trust them. The two halves were related.",40
44,Feedback and Repair,Working,"What's something I do that you'd like more of, and something I do you'd like less of?","Models openness. Stay quiet for at least five seconds after they answer.","He asked for feedback. He nodded thoughtfully. Nothing changed.",42
45,Feedback and Repair,Working,What's a piece of feedback you've received recently that actually helped?,"What made it useful — specificity, source, timing? Use that pattern.","The feedback was speak up more. He'd never spoken about it again.",42
46,Feedback and Repair,Open,What's a piece of work from the last month you're quietly proud of? Who, if anyone, knows?,"Surfaces under-recognised work without putting them in a complaining position.","She had carried the project for six weeks. The retrospective thanked the toolchain.",47
47,Feedback and Repair,Working,Where's an area of your work you feel is genuinely under-recognised or under-used?,"Hidden talents and contributions. Discuss how to make them visible.","He had been the only person who could talk to Legal. This was filed under soft skills.",46
48,Feedback and Repair,Deep,What's a challenge you're carrying right now that the rest of us probably can't see?,"Permission-prefaced. Listen, don't fix.","She was, in fact, fine. For a given value of fine.",49
49,Feedback and Repair,Working,Where in your week is the friction worst right now? What would the smallest useful change look like?,"Friction-first framing. Manager help is a follow-on, not the frame.","The system was working as intended. That was the system's problem.",48
50,Feedback and Repair,Working,How easy is it for people on this team to give each other real feedback? What gets in the way?,"Single-barrel; can be answered as a 1–10 if useful. Name the obstacles.","The team had a strong feedback culture, by which they meant nobody had cried recently.",42
51,Feedback and Repair,Deep,What's been winding you up at work lately? When does it hit hardest?,"Listen first. The follow-up is silence, not solutions.","The Sunday email had set the tone for the week. It was a Wednesday.",
52,Feedback and Repair,Working,"If you could change one thing about how feedback travels in this team, what would it be?","System-level reflection. Often more actionable than individual change.","Feedback was given regularly, in the form of looks across the room.",50
53,Feedback and Repair,Working,"One thing we should start doing, one thing we should stop, one thing we should keep — go.","Time-box ninety seconds each. Resist debate; capture, then act on one.","Start: agile. Stop: agile. Continue: pretending we know what agile means.",
54,Feedback and Repair,Working,"What's a challenge in your work you'd like to handle more independently, and what would let you?","Centres the report's agency. The unblocker is a follow-on.","He had been empowered, told repeatedly, in a meeting he had not been allowed to schedule.",
55,Feedback and Repair,Deep,Think of a moment in the last month you held something back in a 1:1. What made it feel risky?,"Replaces the yes/no safety question with a specific episode. Permission-prefaced.","The conversation had ended at how are you with both parties relieved.",48
56,Feedback and Repair,Working,Tell me about something that didn't go to plan in the last quarter. What do you understand now that you didn't then?,"Edmondson-style learning frame. Not blame, not heroism.","We don't fail. We discover unforeseen edge cases of the success criteria.",
57,Feedback and Repair,Open,How should we be marking team wins? What feels authentic and what feels naff?,"Recognition rituals. Reject the cake-and-Slack default if it's hollow.","We celebrate every milestone, mainly with a Slack thread that no one finishes.",
